id,round_id,home_team_id,away_team_id,kickoff,home_score,away_score,status,odds_home,odds_draw,odds_away,odds_updated_at,created_at,is_third_place,pens_winner_id,match_number,venue,confirmed,elapsed_minutes,api_status,odds_home_prev,odds_draw_prev,odds_away_prev,expected_home_score,expected_away_score
00087c0b-a720-4e3b-acd8-4f259e3f4af7,5b9456a0-db45-445f-87a0-58737bb89313,52f066d8-0a7a-42c5-8a6b-103ec4ba2c91,cba2c884-3603-4b90-976e-49389b04f562,2026-06-24 22:00:00+00,0,3,complete,9.50,5.00,1.30,,2026-04-14 18:08:42.801797+00,false,,49,Miami,true,,FINISHED,9,5,1.3,0,1
006b2c74-d118-431d-b856-d6b2fa148d07,c22e6746-73c1-4060-9194-eb35359c955e,95b1e39e-97c3-4d45-9714-3f507d7c52f1,52eaa3b4-081b-4393-b291-d69c644c612e,2026-06-22 17:00:00+00,2,0,complete,1.44,4.00,7.00,,2026-04-14 18:08:42.801797+00,false,,43,Dallas,true,,FINISHED,1.6,3.75,5.5,2,0
00b8176c-7982-4869-afe6-35e05e89d930,aa9754bd-50eb-4785-8698-e56c6d3cb661,95b1e39e-97c3-4d45-9714-3f507d7c52f1,acfbd82a-7005-41b9-9613-606ceefc857e,2026-07-12 01:00:00+00,3,1,complete,1.70,3.30,5.50,,2026-04-19 19:45:22.650156+00,false,,100,Kansas City,true,,FINISHED,1.7,3.4,5,,
05e45fa7-7370-410b-af83-1ce4a669acfc,c22e6746-73c1-4060-9194-eb35359c955e,20e98c7a-4548-44f8-964d-7aba42ae7624,151a98cf-99e8-4e7a-ab57-396a13db4a72,2026-06-23 00:00:00+00,3,2,complete,2.10,3.30,3.25,,2026-04-14 18:08:42.801797+00,false,,41,New York,true,,FINISHED,2.3,3.3,2.9,1,1
0635f748-c59a-4104-b439-1c84c2e81460,5b9456a0-db45-445f-87a0-58737bb89313,151a98cf-99e8-4e7a-ab57-396a13db4a72,f27875c8-4818-4323-8d45-333b7f82cf57,2026-06-26 19:00:00+00,5,0,complete,1.20,6.00,12.00,,2026-04-14 18:08:42.801797+00,false,,62,Toronto,true,,FINISHED,1.22,6,12,2,1
09779cac-8a10-4c3d-a107-9f9490f548f1,c22e6746-73c1-4060-9194-eb35359c955e,acfbd82a-7005-41b9-9613-606ceefc857e,4976e7fd-9b45-4cc7-b741-fe801fcee2d0,2026-06-18 19:00:00+00,4,1,complete,1.55,3.90,5.80,,2026-04-14 18:08:42.801797+00,false,,26,Los Angeles,true,,FINISHED,1.53,3.9,6,1,0
09f1fc45-6061-4b0f-a5bb-25868f5a4a57,5f39c536-340b-4981-b59a-4a9d7aff9e1e,e176dd2c-4446-4811-b4cc-fc28e9c2ab25,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,2026-07-01 01:00:00+00,2,0,complete,2.20,2.80,3.90,,2026-04-19 19:45:29.973987+00,false,,79,Mexico City,true,,FINISHED,2.15,2.9,3.8,,
0aa39c05-82fc-4131-9670-9fe588932f2d,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,600575e1-d737-452a-abec-c6e22da92787,acfbd82a-7005-41b9-9613-606ceefc857e,2026-06-13 19:00:00+00,1,1,complete,13.00,5.80,1.22,,2026-04-14 18:08:42.801797+00,false,,8,San Francisco,true,,FINISHED,,,,,
0abac47a-3e0a-4c4d-a733-fd3c5e94beed,aa9754bd-50eb-4785-8698-e56c6d3cb661,20e98c7a-4548-44f8-964d-7aba42ae7624,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,2026-07-11 21:00:00+00,1,2,complete,3.80,3.50,1.85,,2026-04-19 19:45:29.973987+00,false,,99,Miami,true,,FINISHED,4,3.5,1.85,,
0bcfd687-dbd6-4369-bb0f-8fd682346491,5f39c536-340b-4981-b59a-4a9d7aff9e1e,6527ec07-bc6b-4b53-8bff-90b6f622aece,4976e7fd-9b45-4cc7-b741-fe801fcee2d0,2026-07-02 00:00:00+00,2,0,complete,1.35,4.80,8.00,,2026-04-19 19:45:29.973987+00,false,,81,San Francisco,true,,FINISHED,1.36,4.6,8,,
