match_number,next_match_number,slot,loser_next_match_number,loser_slot
73,90,home,,
74,89,home,,
75,90,away,,
76,91,home,,
77,89,away,,
78,91,away,,
79,92,home,,
80,92,away,,
81,94,home,,
82,94,away,,
83,93,home,,
84,93,away,,
85,96,home,,
86,95,home,,
87,96,away,,
88,95,away,,
89,97,home,,
90,97,away,,
91,99,home,,
92,99,away,,
93,98,home,,
94,98,away,,
95,100,home,,
96,100,away,,
97,101,home,,
98,101,away,,
99,102,home,,
100,102,away,,
101,104,home,103,home
102,104,away,103,away
